,Education,mean,count,attrition_pct
0,1,0.18235294117647058,170,18.24
2,3,0.17307692307692307,572,17.31
1,2,0.15602836879432624,282,15.6
3,4,0.1457286432160804,398,14.57
4,5,0.10416666666666667,48,10.42
